MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     17092.20,     17194.50,     17220.70,     17027.85,     17063.25,449535338801.72,2155173582,Y, ,18085176,     18604.45,     14151.40
Y, , ,NIFTY50 EQL Wgt,     19132.65,     19232.50,     19289.90,     19067.55,     19103.60,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     19921.85,     20026.95,     20109.95,     19959.60,     19989.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     12673.00,     12721.20,     12755.15,     12628.25,     12647.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     31569.90,     31868.50,     32164.10,     31848.40,     31898.10,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,     10676.50,     10752.30,     10823.80,     10704.80,     10717.00,0,0,Y, ,0,     12338.50,      8543.75
Y, , ,NIFTY SMLCAP 50,      4519.45,      4571.85,      4612.40,      4543.80,      4552.05,0,0,Y, ,0,      5889.45,      3904.90
Y, , ,NIFTY SMLCAP 250,      8877.55,      8961.55,      9066.40,      8960.10,      8982.90,0,0,Y, ,0,     10524.55,      6682.20
Y, , ,NIFTY MIDSML 400,     10028.75,     10107.35,     10190.45,     10081.40,     10092.10,0,0,Y, ,0,     11554.15,      7879.90
Y, , ,NIFTY200 QUALTY30,     14096.15,     14175.85,     14207.20,     14078.70,     14099.90,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     17062.40,     17178.60,     17213.25,     16991.60,     17021.10,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     16480.30,     16539.70,     16614.70,     16467.55,     16494.80,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     19317.50,     19455.55,     19540.45,     19339.50,     19384.75,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2877.20,      2893.95,      2899.65,      2871.85,      2877.90,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 ESG,      3440.80,      3460.35,      3470.15,      3441.05,      3447.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY M150 QLTY50,     15999.85,     16116.30,     16239.10,     16085.80,     16113.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY INDIA MFG,      7686.80,      7734.20,      7764.50,      7694.85,      7705.50,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     34129.55,     34385.10,     34430.95,     34042.70,     34114.30,0,0,Y, ,0,     39446.70,     24212.80
Y, , ,Nifty Next 50,     40096.95,     40318.30,     40632.65,     40309.10,     40434.20,0,0,Y, ,0,     45290.80,     32873.40
Y, , ,Nifty Bank,     37371.65,     37628.55,     37774.60,     37318.00,     37392.05,0,0,Y, ,0,     41829.60,     30405.65
Y, , ,NIFTY MIDCAP 100,     28284.90,     28503.35,     28718.55,     28437.00,     28467.00,0,0,Y, ,0,     33243.50,     22480.25
Y, , ,Nifty 500,     14489.05,     14581.05,     14629.05,     14482.30,     14506.95,0,0,Y, ,0,     16004.45,     11923.20
Y, , ,Nifty 100,     17276.50,     17378.95,     17413.30,     17240.00,     17273.45,0,0,Y, ,0,     18870.70,     14329.60
Y, , ,Nifty Midcap 50,      7868.20,      7933.25,      7977.10,      7883.45,      7894.25,0,0,Y, ,0,      9196.75,      6325.05
Y, , ,Nifty Realty,       430.00,       434.75,       445.45,       434.45,       443.55,0,0,Y, ,0,       560.90,       298.35
Y, , ,Nifty Infra,      4855.90,      4877.60,      4889.45,      4833.00,      4842.40,0,0,Y, ,0,      5362.80,      3890.30
Y, , ,Nifty Energy,     24166.35,     24306.60,     24477.30,     24116.25,     24164.75,0,0,Y, ,0,     25418.90,     17159.30
Y, , ,Nifty FMCG,     35879.85,     36005.70,     36108.15,     35865.00,     35933.10,0,0,Y, ,0,     42021.45,     32312.45
Y, , ,Nifty MNC,     18552.30,     18635.90,     18707.40,     18560.90,     18596.35,0,0,Y, ,0,     20129.85,     15441.30
Y, , ,Nifty Pharma,     12954.50,     13010.90,     13077.65,     12952.50,     12976.30,0,0,Y, ,0,     14938.25,     11280.80
Y, , ,Nifty PSE,      3889.10,      3906.15,      3929.40,      3886.90,      3890.00,0,0,Y, ,0,      4504.35,      2939.15
