S No.,Reco Full,Reco Datetime,Reco Provider,Reco For,Symbol,Target Price,Action,Buy Date,Buy Price,Sell Date,Sell Price,Status
1,Buy Infosys; target of Rs 1970: Emkay Global Financial ,2022-04-14 11:05:00,Emkay Global Financial,Infosys,INFY,1970.0,Buy,,,,,Not Attempted
2,Buy Infosys; target of Rs 2000: Motilal Oswal ,2022-04-14 09:03:00,Motilal Oswal,Infosys,INFY,2000.0,Buy,,,,,Not Attempted
3,Buy Infosys: target of Rs 2150: Sharekhan ,2022-04-14 08:35:00,Sharekhan,Infosys,INFY,2150.0,Buy,,,,,Not Attempted
4,Buy GHCL; target of Rs 898: Arihant Capital ,2022-04-13 15:16:00,Arihant Capital,GHCL,GHCL,898.0,Buy,2022-04-13,554.05,,,Open
5,Buy NMDC; target of Rs 220 : Motilal Oswal ,2022-04-13 09:10:00,Motilal Oswal,NMDC,NMDC,220.0,Buy,2022-04-13,169.7,,,Open
6,Buy IIFL Wealth Management; target of Rs 2200 : Motilal Oswal ,2022-04-13 09:02:00,Motilal Oswal,IIFL Wealth Management,IIFLWAM,2200.0,Buy,2022-04-13,1802.95,,,Open
7,Buy Dr. Reddy’s Laboratories: target of Rs 5550: Sharekhan ,2022-04-12 22:25:00,Sharekhan,Dr. Reddy’s Laboratories,DRREDDY,5550.0,Buy,2022-04-13,4351.0,,,Open
8,Buy Welspun India: target of Rs 130: Sharekhan ,2022-04-12 22:18:00,Sharekhan,Welspun India,WELSPUNIND,130.0,Buy,2022-04-13,95.3,,,Open
9,Buy Tata Consultancy Services: target of Rs 4600: Sharekhan ,2022-04-12 22:11:00,Sharekhan,Tata Consultancy Services,TCS,4600.0,Buy,2022-04-13,3707.0,,,Open
10,Buy NTPC: target of Rs 196: ICICI Securities ,2022-04-12 21:47:00,ICICI Securities,NTPC,NTPC,196.0,Buy,2022-04-13,153.05,,,Open
11,Accumulate Tata Consultancy Services; target of Rs 4256: KR Choksey ,2022-04-12 18:58:00,KR Choksey,Tata Consultancy Services,TCS,4256.0,Accumulate,2022-04-13,3707.0,,,Open
12,Hold Tata Consultancy Services: target of Rs 3519: ICICI Securities ,2022-04-12 18:02:00,ICICI Securities,Tata Consultancy Services,TCS,3519.0,Hold,,,,,Not Attempted
13,Buy Tata Consultancy Services ; target of Rs 4336: YES Securities ,2022-04-12 13:29:00,YES Securities,Tata Consultancy Services,TCS,4336.0,Buy,2022-04-12,3683.0,,,Open
14,Buy TCS; target of Rs 4240 : Motilal Oswal ,2022-04-12 13:22:00,Motilal Oswal,TCS,TCS,4240.0,Buy,2022-04-12,3683.0,,,Open
15,Buy Tata Consultancy Services; target of Rs 4221: Prabhudas Lilladher ,2022-04-12 13:10:00,Prabhudas Lilladher,Tata Consultancy Services,TCS,4221.0,Buy,2022-04-12,3683.0,,,Open
16,Buy VA Tech Wabag ; target of Rs 391: YES Securities ,2022-04-11 15:17:00,YES Securities,VA Tech Wabag,WABAG,391.0,Buy,2022-04-11,306.0,,,Open
17,Buy PCBL; target of Rs 160: ICICI Direct ,2022-04-11 12:20:00,ICICI Direct,PCBL,PCBL,160.0,Buy,,,,,Not Attempted
18,Hold Solar Industries: target of Rs 2850: ICICI Securities ,2022-04-11 10:36:00,ICICI Securities,Solar Industries,SOLARINDS,2850.0,Hold,,,,,Not Attempted
19,Buy Sumitomo Chemical India: target of Rs 500: Sharekhan ,2022-04-09 08:17:00,Sharekhan,Sumitomo Chemical India,SUMICHEM,500.0,Buy,2022-04-11,429.0,,,Open
20,Buy Zee Entertainment Enterprises: target of Rs 400: Sharekhan ,2022-04-08 17:49:00,Sharekhan,Zee Entertainment Enterprises,ZEEL,400.0,Buy,2022-04-11,287.4,,,Open
21,Buy Titan Company: target of Rs 2900: Sharekhan ,2022-04-08 17:45:00,Sharekhan,Titan Company,TITAN,2900.0,Buy,2022-04-11,2503.0,,,Open
22,Buy Godrej Consumer Products: target of Rs 959: Sharekhan ,2022-04-08 17:41:00,Sharekhan,Godrej Consumer Products,GODREJCP,959.0,Buy,2022-04-11,812.9,,,Open
23,Buy Zydus Lifesciences: target of Rs 480: Sharekhan ,2022-04-08 17:38:00,Sharekhan,Zydus Lifesciences,ZYDUSLIFE,480.0,Buy,2022-04-11,370.1,,,Open
24,Buy Sobha: target of Rs 902: ICICI Securities ,2022-04-08 16:15:00,ICICI Securities,Sobha,SOBHA,902.0,Buy,2022-04-11,709.0,,,Open
25,Buy Gujarat Fluorochemicals: target of Rs 3356: ICICI Securities ,2022-04-08 16:07:00,ICICI Securities,Gujarat Fluorochemicals,GUJGASLTD,3356.0,Buy,,,,,Not Attempted
26,Buy EPL; target of Rs 250 : Motilal Oswal ,2022-04-08 13:52:00,Motilal Oswal,EPL,EPL,250.0,Buy,2022-04-08,184.35,,,Open
27,Buy VRL Logistics; target of Rs 665 : Motilal Oswal ,2022-04-07 18:08:00,Motilal Oswal,VRL Logistics,VRLLOG,665.0,Buy,2022-04-08,499.0,,,Open
28,Buy Titan Company; target of Rs 2754: Prabhudas Lilladher ,2022-04-07 14:28:00,Prabhudas Lilladher,Titan Company,TITAN,2754.0,Buy,2022-04-07,2502.3,,,Open
29,Buy Dalmia Bharat: target of Rs 2300: Sharekhan ,2022-04-07 14:12:00,Sharekhan,Dalmia Bharat,DALMIASUG,2300.0,Buy,,,,,Not Attempted
30,Buy Macrotech Developers: target of Rs 1348: ICICI Securities ,2022-04-07 11:43:00,ICICI Securities,Macrotech Developers,LODHA,1348.0,Buy,2022-04-07,1199.0,,,Open
31,Buy The Phoenix Mills: target of Rs 1336: ICICI Securities ,2022-04-07 11:38:00,ICICI Securities,The Phoenix Mills,PHOENIXLTD,1336.0,Buy,2022-04-07,1055.0,,,Open
