MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     17617.15,     17575.15,     17599.40,     16997.85,     17149.10,741901915610.97,3600717474,Y, ,31246832,     18604.45,     13596.75
Y, , ,NIFTY50 EQL Wgt,     19629.60,     19589.40,     19600.70,     18941.65,     19120.30,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     20667.85,     20650.90,     20655.80,     19846.45,     20043.80,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     13129.50,     13114.15,     13115.20,     12750.45,     12841.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     34964.90,     34932.15,     34958.90,     32922.95,     33319.90,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,     11551.65,     11547.70,     11556.15,     11012.35,     11125.05,0,0,Y, ,0,     12338.50,      7840.25
Y, , ,NIFTY SMLCAP 50,      5282.05,      5265.85,      5272.65,      4986.35,      5028.15,0,0,Y, ,0,      5889.45,      3629.75
Y, , ,NIFTY SMLCAP 250,     10076.85,     10058.00,     10071.00,      9522.10,      9611.50,0,0,Y, ,0,     10524.55,      6105.25
Y, , ,NIFTY MIDSML 400,     11017.55,     11008.30,     11017.85,     10473.45,     10577.65,0,0,Y, ,0,     11554.15,      7221.05
Y, , ,NIFTY200 QUALTY30,     14615.25,     14604.30,     14629.25,     14073.45,     14184.25,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     17832.95,     17813.60,     17818.15,     17175.85,     17403.90,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     17184.05,     17177.65,     17177.70,     16557.15,     16679.55,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     20313.95,     20282.65,     20291.20,     19242.30,     19421.45,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2983.25,      2972.80,      2975.10,      2870.35,      2893.00,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 ESG,      3581.15,      3574.60,      3575.40,      3436.30,      3469.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY M150 QLTY50,     17607.40,     17612.45,     17652.75,     16858.90,     16975.40,0,0,Y, ,0,          .00,          .00
