S No.,Reco Full,Reco Date,Reco Time,Reco Provider,Reco For,Symbol,Action,Quantity,Target Price,Buy Price,Buy Date,Buy Time,Sell Price,Sell Date,Sell Time,Status
1,"Buy eClerx Services, target price Rs 2620:  Emkay Global ",24/02/2022,14:58:06,Emkay Global,eClerx Services,ECLERX,Buy,1,2620,2143.25,24-FEB-2022,14:57:23,,,,Active
2,"Buy Navin Fluorine International, target price Rs 4905:  HDFC Securities ",24/02/2022,14:58:06,HDFC Securities,Navin Fluorine International,NAVINFLUOR,Buy,1,4905,3701.4,24-FEB-2022,14:57:23,,,,Active
3,"Buy Firstsource Solutions, target price Rs 180:  Emkay Global",24/02/2022,14:58:06,Emkay Global,Firstsource Solutions,FSL,Buy,1,180,120.1,24-FEB-2022,14:57:23,,,,Active
4,"Buy Route Mobile, target price Rs 2150:  Emkay Global",24/02/2022,14:58:06,Emkay Global,Route Mobile,ROUTE,Buy,1,2150,1401.5,24-FEB-2022,14:58:23,,,,Active
5,"Accumulate Bata India, target price Rs 2135:  Geojit",24/02/2022,14:58:06,Geojit,Bata India,BATAINDIA,Accumulate,,2135,,,,,,,
6,"Buy Mahindra & Mahindra, target price Rs 1000:  ICICI Direct ",24/02/2022,14:58:06,ICICI Direct,Mahindra & Mahindra,MAHEPC,Buy,1,1000,94.2,24-FEB-2022,14:58:23,,,,Active
7,"Buy Oberoi Realty, target price Rs 965:  IIFL ",24/02/2022,14:58:06,IIFL,Oberoi Realty,OBEROIRLTY,Buy,1,965,866.6,24-FEB-2022,14:58:23,,,,Active
8,"Add Sanofi India, target price Rs 8107:  ICICI Securities ",24/02/2022,14:58:06,ICICI Securities,Sanofi India,SANOFI,Add,1,8107,7184.9,24-FEB-2022,14:58:23,,,,Active
9,"Buy Mahindra CIE Automotive, target price Rs 287:  ICICI Securities ",24/02/2022,14:58:06,ICICI Securities,Mahindra CIE Automotive,MAHINDCIE,Buy,1,287,187.2,24-FEB-2022,14:58:23,,,,Active
10,"Buy Automotive Axles, target price Rs 1730:  ICICI Direct ",24/02/2022,14:58:06,ICICI Direct,Automotive Axles,AUTOAXLES,Buy,1,1730,1440.0,24-FEB-2022,14:58:23,,,,Active
11,"Hold Mindtree, target price Rs 4300:  Emkay Global",24/02/2022,14:58:06,Emkay Global,Mindtree,MINDTREE,Hold,1,4300,3571.9,24-FEB-2022,14:58:23,,,,Active
12,"Buy Persistent Systems, target price Rs 4600:  Emkay Global ",24/02/2022,14:58:06,Emkay Global,Persistent Systems,PERSISTENT,Buy,1,4600,3773.5,24-FEB-2022,14:58:23,,,,Active
13,"Buy TTK Prestige, target price Rs 1050:  ICICI Securities ",24/02/2022,14:58:06,ICICI Securities,TTK Prestige,TTKPRESTIG,Buy,1,1050,784.5,24-FEB-2022,14:58:23,,,,Active
14,"Buy Crompton Greaves Consumer Electricals, target price Rs 422:  IIFL ",24/02/2022,14:58:06,IIFL,Crompton Greaves Consumer Electricals,CROMPTON,Buy,1,422,405.0,24-FEB-2022,14:58:23,,,,Active
15,"Add SRF, target price Rs 2675:  HDFC Securities ",24/02/2022,14:58:06,HDFC Securities,SRF,SRF,Add,1,2675,2280.0,24-FEB-2022,14:58:23,,,,Active
16,"Buy DLF, target price Rs 357:  IIFL ",24/02/2022,14:58:06,IIFL,DLF,DLF,Buy,1,357,321.1,24-FEB-2022,14:58:23,,,,Active
